CODE,TITLE,COMMENT
001,เด็กชาย,
002,นาย,
003,เด็กหญิง,
004,นางสาว,
005,นาง,
006,นักโทษชายหม่อมหลวง,
007,นักโทษชาย,
008,นักโทษหญิง,
009,นักโทษจ่าสิบเอก,
010,นักโทษชายจ่าเอก,
011,นักโทษชายพลทหาร,
012,นักโทษชายร้อยตรี,
100,พระบาทสมเด็จพระเจ้าอยู่หัว,
101,สมเด็จพระนางเจ้า,
102,สมเด็จพระศรีนครินทราบรมราชชนนี,
103,พลโทสมเด็จพระบรมโอรสาธิราช,
104,พลตรีสมเด็จพระเทพรัตนราชสุด,
105,พระเจาวรวงศ์เธอพระองค์หญิง,
106,พระเจ้าวรวงศ์เธอพระองค์เจ้า,
107,สมเด็จพระราชชนนี,
108,สมเด็จพระเจ้าพี่นางเธอเจ้าฟ้า,
109,สมเด็จพระ,
110,สมเด็จพระเจ้าลูกเธอ,
111,สมเด็จพระเจ้าลูกยาเธอ,
112,สมเด็จเจ้าฟ้า,
113,พระเจ้าบรมวงศ์เธอ,
114,พระเจ้าวรวงศ์เธอ,
115,พระเจ้าหลานเธอ,
116,พระเจ้าหลานยาเธอ,
117,พระวรวงศ์เธอ,
118,สมเด็จพระเจ้าภคินีเธอ,
119,พระองค์เจ้า,
120,หม่อมเจ้า,
121,หม่อมราชวงศ์,
122,หม่อมหลวง,
123,พระยา,
124,หลวง,
125,ขุน,
126,หมื่น,
127,เจ้าคุณ,
128,พระวรวงศ์เธอพระองค์เจ้า,
129,คุณ,
130,คุณหญิง,
131,ท่านผู้หญิงหม่อมหลวง,
132,ศาสตราจารย์นายแพทย์,
133,แพทย์หญิงคุณหญิง,
134,นายแพทย์,
135,แพทย์หญิง,
136,ทัณตแพทย์,
137,ทัณตแพทย์หญิง,
138,สัตวแพทย์,
139,สัตวแพทย์หญิง,
140,ดอกเตอร์,
141,ผู้ช่วยศาสตราจารย์,
142,รองศาสตราจารย์,
143,ศาสตราจารย์,
144,เภสัชกรชาย,
145,เภสัชกรหญิง,
146,หม่อม,
147,รองอำมาตย์เอก,
148,ท้าว,
149,เจ้า,
150,ท่านผู้หญิง,
151,คุณพระ,
152,ศาสตราจารย์คุณหญิง,
153,ซิสเตอร์,
154,เจ้าชาย,
155,เจ้าหญิง,
156,รองเสวกตรี,
157,เสด็จเจ้า,
158,เอกอัครราชฑูต,
159,พลสารวัตร,
160,สมเด็จเจ้า,
161,เจ้าฟ้า,
162,รองอำมาตย์ตรี,
163,หม่อมเจ้าหญิง,
164,ทูลกระหม่อม,
165,ศาสตราจารย์ดอกเตอร์,
166,เจ้านาง,
167,จ่าสำรอง,
200,พลเอก,
201,ว่าที่พลเอก,
202,พลโท,
204,พลตรี,
205,ว่าที่พลตรี,
206,พันเอกพิเศษ,
207,ว่าที่พันเอกพิเศษ,
208,พันเอก,
209,ว่าที่พันเอก,
210,พันโท,
211,ว่าที่พันโท,
212,พันตรี,
213,ว่าที่พันตรี,
214,ร้อยเอก,
215,ว่าที่ร้อยเอก,
216,ร้อยโท,
217,ว่าที่ร้อยโท,
